id,symbol,status,baseAsset,quoteAsset
4d40083b-caec-4b3a-b601-770eaab9af2a,ETHBTC,TRADING,ETH,BTC
4db3d6f8-34ed-4a89-8e09-ac71de36acdc,LTCBTC,TRADING,LTC,BTC
b47612cc-b5dc-4efa-b75e-94d411d58d22,BNBBTC,TRADING,BNB,BTC
6022e83c-acc5-47ad-9c19-fd6afa2ab94f,NEOBTC,TRADING,NEO,BTC
32bc3845-8350-4c15-8692-cc19c9b73bfd,QTUMETH,TRADING,QTUM,ETH
57912eb0-dca2-4d02-8897-ac68810edd8b,EOSETH,TRADING,EOS,ETH
63d023a2-d4e1-498e-9e73-835c15f5db20,SNTETH,TRADING,SNT,ETH
d4bf8027-c870-4285-b2f6-576d70ef777c,BNTETH,TRADING,BNT,ETH
1360502f-f437-410d-b704-6724c7fad304,BCCBTC,BREAK,BCC,BTC
7d371cac-58b6-46d5-99aa-0126a1dcd889,GASBTC,TRADING,GAS,BTC
816d1492-4dd3-4b15-be33-a971d90d3d32,BNBETH,TRADING,BNB,ETH
e96b0a50-7557-4eab-9a1f-8da515de46df,BTCUSDT,TRADING,BTC,USDT
b7149a5e-d278-4d86-971a-d63b1aff0793,ETHUSDT,TRADING,ETH,USDT
3c43d432-1e86-4047-826c-3f8021514ca9,HSRBTC,BREAK,HSR,BTC
4cc869e1-305d-4709-8614-ad56f0e5885b,OAXETH,BREAK,OAX,ETH
84f097b4-3b4b-4e71-b230-cdf9a858ce81,DNTETH,BREAK,DNT,ETH
9bee91b5-403a-4003-9ccb-05f0bbbb8983,MCOETH,BREAK,MCO,ETH
dc151e39-b8b7-4633-985c-6b08b77f1c48,ICNETH,BREAK,ICN,ETH
d2c6e28f-a747-467e-aaae-43842825a3e6,MCOBTC,BREAK,MCO,BTC
4445f47d-510c-4c1b-84fd-e13a82ac5d3a,WTCBTC,BREAK,WTC,BTC
fd2f1380-36e6-49c9-9bb0-612fce967c81,WTCETH,BREAK,WTC,ETH
d1fe4217-8f57-477a-94d1-f40255b8bcb6,LRCBTC,TRADING,LRC,BTC
6efeb6b9-fcf2-4e73-8ba8-572757775274,LRCETH,TRADING,LRC,ETH
a8cf3c56-736f-42a6-9ee4-2df33d61f9f0,QTUMBTC,TRADING,QTUM,BTC
683637c6-5ad2-45cb-b9ff-4112056d1a54,YOYOBTC,BREAK,YOYO,BTC
7aceaa66-afd3-44e6-a143-838de0d70202,OMGBTC,BREAK,OMG,BTC
60f433e2-8749-422f-8fa6-640bf529074a,OMGETH,BREAK,OMG,ETH
82eafc73-80c1-4313-9677-a12ac71bc5a3,ZRXBTC,TRADING,ZRX,BTC
db24d146-c852-463c-8c4d-f45bffc9d8a8,ZRXETH,BREAK,ZRX,ETH
cbb8057c-c130-49d0-9596-2f48935b1c8e,STRATBTC,BREAK,STRAT,BTC
8749c206-b212-4283-a504-25285e53f681,STRATETH,BREAK,STRAT,ETH
d866a916-7771-4e08-ba49-cd4dcb34ef57,SNGLSBTC,BREAK,SNGLS,BTC
5a0b14ba-3bf0-4af2-95ff-6158c897a87c,SNGLSETH,BREAK,SNGLS,ETH
c67f4adf-6e53-4f74-8e2a-095c08f8bb22,BQXBTC,BREAK,BQX,BTC
8b82cc37-72a7-4a22-9582-3468001a9a59,BQXETH,BREAK,BQX,ETH
5d326f89-1687-46ee-9548-d3a994ce1fa8,KNCBTC,TRADING,KNC,BTC
3b877767-7aef-46f6-adb5-5e5367a842ee,KNCETH,BREAK,KNC,ETH
b13f583e-c2cb-4731-9c49-a9606ece9c9d,FUNBTC,BREAK,FUN,BTC
121da558-e5de-41ea-8ba0-c9df2ec50f80,FUNETH,BREAK,FUN,ETH
f84debca-d14b-4671-86d5-267c9c92abc1,SNMBTC,BREAK,SNM,BTC
a276fa2a-7ff4-46a9-b6b0-9af12f859646,SNMETH,BREAK,SNM,ETH
7d8bad4a-5afd-4793-9d03-d2bacc87713d,NEOETH,BREAK,NEO,ETH
ae4786f7-f034-400e-8a50-00ae8ececa85,IOTABTC,TRADING,IOTA,BTC
35d46e27-dc58-461d-b099-fd1651dd2866,IOTAETH,TRADING,IOTA,ETH
55c582fc-cd87-4488-9ccb-96a606b1b438,LINKBTC,TRADING,LINK,BTC
5430adbd-5b2d-482e-94fa-ced8c0bb9801,LINKETH,TRADING,LINK,ETH
f0054cda-1ee6-4108-a28e-0181f751ff43,XVGBTC,BREAK,XVG,BTC
142338c9-6400-4ce8-acbd-6d17c2a64992,XVGETH,TRADING,XVG,ETH
c87bfb7e-51ef-4559-87c7-331231a8dc6b,SALTBTC,BREAK,SALT,BTC
c7de73da-ad54-4f70-be1d-c56d8c1cd80e,SALTETH,BREAK,SALT,ETH
6641654a-6ec3-4e09-9adb-ac3be38f233a,MDABTC,BREAK,MDA,BTC
330bca9e-31a4-4c9d-b38f-4887210fcd35,MDAETH,BREAK,MDA,ETH
3c484811-c50d-4db6-8dcc-92982cb33dd1,MTLBTC,TRADING,MTL,BTC
f2b4c4a5-af7d-4bc0-9d91-68f2e1720249,MTLETH,BREAK,MTL,ETH
cece889b-ec63-43cf-9771-c9b45b7e2577,SUBBTC,BREAK,SUB,BTC
0ae3c059-5423-4c09-a0f1-ffb43c381da3,SUBETH,BREAK,SUB,ETH
1f77efe8-2c23-471d-b634-d8eaa825e1a4,EOSBTC,TRADING,EOS,BTC
2bde3a68-83a1-4602-bc11-416ba665bda8,SNTBTC,TRADING,SNT,BTC
38e41665-34bf-4e8c-a92d-89d9cc4b810e,ETCETH,TRADING,ETC,ETH
0555af43-3014-445a-9301-27130097936f,ETCBTC,TRADING,ETC,BTC
ef2aae67-fc79-48a2-a072-09810073e6e1,MTHBTC,BREAK,MTH,BTC
d5b6ffb1-d40f-4f9d-9ce4-742ba5c57a3f,MTHETH,BREAK,MTH,ETH
f805ec29-5b09-4677-9837-6846a4fed19f,ENGBTC,BREAK,ENG,BTC
124fdf30-25ee-4a34-9547-b2d08be60ebf,ENGETH,BREAK,ENG,ETH
d2e4d795-79fe-4a04-8a78-be912018ea6a,DNTBTC,BREAK,DNT,BTC
15fa011d-a550-4eae-b6b0-6284afbfd9da,ZECBTC,TRADING,ZEC,BTC
adb55b22-88cc-4426-ab30-bc4d41ad13b8,ZECETH,TRADING,ZEC,ETH
36afff9a-e499-471d-853e-963bd4880f7c,BNTBTC,TRADING,BNT,BTC
275a21ac-a1c0-469d-9df7-ecebd9a22e2c,ASTBTC,BREAK,AST,BTC
acab43e8-5d27-48a3-b987-b953d7112dd2,ASTETH,BREAK,AST,ETH
8a36ccd7-7cde-4a94-9c62-b35b2d82f7ae,DASHBTC,TRADING,DASH,BTC
91b18fbf-3cfa-4de7-b220-e836f82d9d31,DASHETH,TRADING,DASH,ETH
71e95612-e6af-443d-bf7e-411d2466a5d2,OAXBTC,TRADING,OAX,BTC
460d706c-2115-4b48-8d04-51efa9105603,ICNBTC,BREAK,ICN,BTC
388c0928-8b5f-437e-b5b0-c60e9e3f2705,BTGBTC,BREAK,BTG,BTC
aa6a4e0c-c6ec-4c4f-89a1-e83626f5fc3e,BTGETH,BREAK,BTG,ETH
7ceeb7ca-c6fa-4712-8fdd-81e3b384fb7c,EVXBTC,BREAK,EVX,BTC
7cad6999-cebf-451a-a353-71918ac89c16,EVXETH,BREAK,EVX,ETH
88e41a99-6c8f-40ce-89a2-1b478b599511,REQBTC,TRADING,REQ,BTC
e3be5a77-a9d7-4e29-9bc2-92bdc665745a,REQETH,BREAK,REQ,ETH
0f0c9111-8743-4e4f-b005-4da7ad1e3737,VIBBTC,TRADING,VIB,BTC
ab6058e6-38b0-43c4-93b6-59b62150e6c8,VIBETH,BREAK,VIB,ETH
75901139-b4ad-4b47-9f7e-db90898d18c0,HSRETH,BREAK,HSR,ETH
60f9b0d6-b8b5-49da-96e1-936b6df6c3de,TRXBTC,TRADING,TRX,BTC
64d8c45f-ad34-4920-861c-3eb4d11499b8,TRXETH,TRADING,TRX,ETH
7aa00289-66b9-41e2-918b-5876406e132b,POWRBTC,TRADING,POWR,BTC
5956b634-39a6-433d-8b95-09da7b577e47,POWRETH,TRADING,POWR,ETH
9fcc4abe-c8ea-4a85-9e21-9eae8fe238db,ARKBTC,BREAK,ARK,BTC
e7ae5008-7e9e-455f-9808-c9ebf41c505c,ARKETH,BREAK,ARK,ETH
b5deb821-1e3d-4548-b925-225315bf1b19,YOYOETH,BREAK,YOYO,ETH
